Plot,Latitude,Longitude,NPP,Unidade,Referência
"Manaus, Brasil",-2.5,-60,10.1 ±1.4,MgC ha-1 a-1,"Malhi et al. 2009 – The production, Storage, and Flow of Carbon in Amazonian Forests"
"Caxiuanã, Brasil",-1.72,-51.5,10.1 ±1.2,MgC ha-1 a-1,"Malhi et al. 2009 – The production, Storage, and Flow of Carbon in Amazonian Forests"
"Tapajós, Brasil",-2.5,-55,14.4±1.3,MgC ha-1 a-1,"Malhi et al. 2009 – The production, Storage, and Flow of Carbon in Amazonian Forests"
"Tambopata, Peru",-12.8,-69.7,15.35±1.36,MgC ha-1 a-1,Aragão et al. 2009 - Above- and below-ground net primary productivity across ten Amazonian forests on contrasting soils
"Zafire, Colombia",-4,-69.9,11.5±1.14,MgC ha-1 a-1,Aragão et al. 2009 - Above- and below-ground net primary productivity across ten Amazonian forests on contrasting soils
"Agua Pudre, Colombia",-3.72,-70.3,9.3±1.26,MgC ha-1 a-1,Aragão et al. 2009 - Above- and below-ground net primary productivity across ten Amazonian forests on contrasting soils
"Wayquecha, Peru",-13.18,-71.58,5.1,MgC ha-1 a-1,"Malhi, Doughty & Galbraith, 2011"
"Trocha Union, Peru",-13.1,-71.58,5.22,MgC ha-1 a-1,"Malhi, Doughty & Galbraith, 2011"
"San Pedro, Peru",-13.03,-71.53,7.1,MgC ha-1 a-1,"Malhi, Doughty & Galbraith, 2011"
"Tono, Peru",-12.95,-71.55,7.1,MgC ha-1 a-1,"Malhi, Doughty & Galbraith, 2011"
"San Carlos, Venezuela",1.93,-67.05,11.4,MgC ha-1 a-1,"Malhi, Doughty & Galbraith, 2011"
"Santa Cruz, Bolívia ",-16.0158,-62.7301,13.38±0.78,MgC ha-1 a-1,"Araujo-murakami et al., 2014"
"Alpahuayo, Peru",-3.95,-73.4,14.40±0.96,MgC ha-1 a-1,"Malhi et al. 2015 - The linkages between photosynthesis, productivity, growth and biomass in lowland Amazonian forests"
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,.
